tree_id,parent_member_id,child_member_id,parent_role
7003,1018001,1018043,father
7003,1018001,1018064,father
7003,1018001,1018085,father
7003,1018001,1018106,father
7003,1018043,1018126,father
7003,1018043,1018168,father
7003,1018043,1018210,father
7003,1018064,1018136,mother
7003,1018064,1018177,mother
7003,1018064,1018218,mother
7003,1018085,1018147,father
7003,1018085,1018189,father
7003,1018085,1018231,father
7003,1018106,1018157,mother
7003,1018106,1018198,mother
7003,1018106,1018239,mother
7003,1018126,1018251,father
7003,1018126,1018314,father
7003,1018126,1018377,father
7003,1018136,1018256,father
7003,1018136,1018319,father
7003,1018136,1018382,father
7003,1018147,1018261,mother
7003,1018147,1018323,mother
7003,1018147,1018385,mother
7003,1018157,1018266,mother
7003,1018157,1018328,mother
7003,1018157,1018390,mother
7003,1018168,1018272,father
7003,1018168,1018335,father
7003,1018168,1018398,father
7003,1018177,1018276,mother
7003,1018177,1018338,mother
7003,1018177,1018400,mother
7003,1018189,1018282,mother
7003,1018189,1018344,mother
7003,1018189,1018406,mother
7003,1018198,1018287,father
7003,1018198,1018350,father
7003,1018198,1018413,father
7003,1018210,1018293,father
7003,1018210,1018356,father
7003,1018218,1018297,father
7003,1018218,1018360,father
7003,1018231,1018303,mother
7003,1018231,1018365,mother
7003,1018239,1018307,mother
7003,1018239,1018369,mother
7003,1018251,1018417,father
7003,1018251,1018500,father
7003,1018251,1018583,father
7003,1018256,1018419,mother
7003,1018256,1018502,mother
7003,1018256,1018585,mother
7003,1018261,1018422,father
7003,1018261,1018505,father
7003,1018261,1018588,father
7003,1018266,1018424,mother
7003,1018266,1018507,mother
7003,1018266,1018590,mother
7003,1018272,1018427,mother
7003,1018272,1018510,mother
7003,1018272,1018593,mother
7003,1018276,1018429,mother
7003,1018276,1018512,mother
7003,1018276,1018595,mother
7003,1018282,1018432,mother
7003,1018282,1018515,mother
7003,1018282,1018598,mother
7003,1018287,1018435,father
7003,1018287,1018518,father
7003,1018287,1018601,father
7003,1018293,1018438,father
7003,1018293,1018521,father
7003,1018293,1018604,father
7003,1018297,1018440,father
7003,1018297,1018523,father
7003,1018297,1018606,father
7003,1018303,1018443,father
7003,1018303,1018526,father
