tree_id,member_id_1,member_id_2,married_at,ended_at,status
7001,1000001,1000002,1346-01-01,1383-12-31,ended
7001,1000003,1000004,1366-01-01,1397-12-31,ended
7001,1000005,1000006,1368-01-01,1415-12-31,ended
7001,1000007,1000008,1367-01-01,1408-12-31,ended
7001,1000009,1000010,1370-01-01,1406-12-31,ended
7001,1000011,1000012,1367-01-01,1382-12-31,ended
7001,1000013,1000014,1366-01-01,1417-12-31,ended
7001,1000015,1000016,1368-01-01,1392-12-31,ended
7001,1000017,1000018,1368-01-01,1413-12-31,ended
7001,1000019,1000020,1369-01-01,1382-12-31,ended
7001,1000021,1000022,1371-01-01,1391-12-31,ended
7001,1000023,1000024,1368-01-01,1384-12-31,ended
7001,1000025,1000026,1372-01-01,1416-12-31,ended
7001,1000027,1000028,1366-01-01,1410-12-31,ended
7001,1000029,1000030,1364-01-01,1397-12-31,ended
7001,1000031,1000032,1368-01-01,1409-12-31,ended
7001,1000033,1000034,1368-01-01,1407-12-31,ended
7001,1000035,1000036,1369-01-01,1386-12-31,ended
7001,1000037,1000038,1371-01-01,1401-12-31,ended
7001,1000039,1000040,1372-01-01,1410-12-31,ended
7001,1000041,1000042,1370-01-01,1394-12-31,ended
7001,1000043,1000044,1370-01-01,1396-12-31,ended
7001,1000045,1000046,1372-01-01,1417-12-31,ended
7001,1000047,1000048,1372-01-01,1410-12-31,ended
7001,1000049,1000050,1370-01-01,1414-12-31,ended
7001,1000051,1000052,1366-01-01,1424-12-31,ended
7001,1000053,1000054,1369-01-01,1428-12-31,ended
7001,1000055,1000056,1371-01-01,1395-12-31,ended
7001,1000057,1000058,1366-01-01,1407-12-31,ended
7001,1000059,1000060,1370-01-01,1418-12-31,ended
7001,1000004,1000061,1370-01-01,1407-12-31,ended
7001,1000003,1000006,1368-01-01,1397-12-31,ended
7001,1000005,1000008,1371-01-01,1413-12-31,ended
7001,1000007,1000010,1369-01-01,1408-12-31,ended
7001,1000009,1000012,1367-01-01,1406-12-31,ended
7001,1000011,1000014,1368-01-01,1382-12-31,ended
7001,1000013,1000016,1366-01-01,1392-12-31,ended
7001,1000015,1000018,1366-01-01,1401-12-31,ended
7001,1000017,1000020,1369-01-01,1382-12-31,ended
7001,1000019,1000022,1366-01-01,1401-12-31,ended
7001,1000021,1000024,1372-01-01,1384-12-31,ended
7001,1000023,1000026,1368-01-01,1406-12-31,ended
7001,1000025,1000028,1366-01-01,1423-12-31,ended
7001,1000027,1000030,1364-01-01,1410-12-31,ended
7001,1000029,1000032,1366-01-01,1397-12-31,ended
7001,1000031,1000034,1367-01-01,1412-12-31,ended
7001,1000033,1000036,1370-01-01,1390-12-31,ended
7001,1000035,1000038,1366-01-01,1386-12-31,ended
7001,1000037,1000040,1369-01-01,1401-12-31,ended
7001,1000039,1000042,1366-01-01,1394-12-31,ended
7001,1000041,1000044,1366-01-01,1407-12-31,ended
7001,1000043,1000046,1366-01-01,1396-12-31,ended
7001,1000045,1000048,1371-01-01,1428-12-31,ended
7001,1000047,1000050,1367-01-01,1410-12-31,ended
7001,1000049,1000052,1370-01-01,1414-12-31,ended
7001,1000051,1000054,1367-01-01,1432-12-31,ended
7001,1000053,1000056,1372-01-01,1395-12-31,ended
7001,1000055,1000058,1366-01-01,1402-12-31,ended
7001,1000057,1000060,1367-01-01,1418-12-31,ended
7001,1000004,1000059,1368-01-01,1407-12-31,ended
7001,1000006,1000061,1368-01-01,1415-12-31,ended
7001,1000003,1000008,1372-01-01,1397-12-31,ended
7001,1000005,1000010,1369-01-01,1425-12-31,ended
7001,1000007,1000012,1368-01-01,1408-12-31,ended
7001,1000009,1000014,1368-01-01,1406-12-31,ended
7001,1000011,1000016,1367-01-01,1382-12-31,ended
7001,1000013,1000018,1369-01-01,1413-12-31,ended
7001,1000015,1000020,1368-01-01,1382-12-31,ended
7001,1000017,1000022,1371-01-01,1417-12-31,ended
7001,1000019,1000024,1367-01-01,1384-12-31,ended
7001,1000021,1000026,1366-01-01,1391-12-31,ended
7001,1000023,1000028,1367-01-01,1406-12-31,ended
7001,1000025,1000030,1366-01-01,1418-12-31,ended
7001,1000027,1000032,1368-01-01,1409-12-31,ended
7001,1000029,1000034,1366-01-01,1397-12-31,ended
7001,1000031,1000036,1366-01-01,1390-12-31,ended
7001,1000033,1000038,1367-01-01,1407-12-31,ended
7001,1000035,1000040,1368-01-01,1386-12-31,ended
7001,1000037,1000042,1372-01-01,1394-12-31,ended
7001,1000039,1000044,1369-01-01,1410-12-31,ended
7001,1000041,1000046,1370-01-01,1407-12-31,ended
7001,1000043,1000048,1369-01-01,1396-12-31,ended
7001,1000045,1000050,1372-01-01,1415-12-31,ended
7001,1000047,1000052,1372-01-01,1410-12-31,ended
7001,1000049,1000054,1368-01-01,1414-12-31,ended
7001,1000051,1000056,1364-01-01,1395-12-31,ended
7001,1000053,1000058,1371-01-01,1407-12-31,ended
7001,1000055,1000060,1367-01-01,1402-12-31,ended
7001,1000004,1000057,1371-01-01,1407-12-31,ended
7001,1000006,1000059,1371-01-01,1415-12-31,ended
7001,1000062,1000063,1391-01-01,1442-12-31,ended
7001,1000064,1000065,1388-01-01,1415-12-31,ended
7001,1000066,1000067,1391-01-01,1441-12-31,ended
7001,1000068,1000069,1389-01-01,1418-12-31,ended
7001,1000070,1000071,1391-01-01,1407-12-31,ended
7001,1000072,1000073,1389-01-01,1444-12-31,ended
7001,1000074,1000075,1391-01-01,1448-12-31,ended
7001,1000076,1000077,1390-01-01,1440-12-31,ended
7001,1000078,1000079,1390-01-01,1424-12-31,ended
7001,1000080,1000081,1391-01-01,1420-12-31,ended
7001,1000082,1000083,1392-01-01,1447-12-31,ended
7001,1000084,1000085,1391-01-01,1425-12-31,ended
7001,1000086,1000087,1390-01-01,1413-12-31,ended
7001,1000088,1000089,1390-01-01,1423-12-31,ended
7001,1000090,1000091,1394-01-01,1461-12-31,ended
7001,1000092,1000093,1393-01-01,1423-12-31,ended
7001,1000094,1000095,1389-01-01,1410-12-31,ended
7001,1000096,1000097,1387-01-01,1431-12-31,ended
7001,1000098,1000099,1390-01-01,1395-12-31,ended
7001,1000100,1000101,1391-01-01,1420-12-31,ended
7001,1000102,1000103,1392-01-01,1392-12-31,ended
7001,1000104,1000105,1386-01-01,1416-12-31,ended
7001,1000106,1000107,1388-01-01,1412-12-31,ended
7001,1000108,1000109,1393-01-01,1393-12-31,ended
7001,1000110,1000111,1388-01-01,1428-12-31,ended
7001,1000112,1000113,1393-01-01,1406-12-31,ended
7001,1000114,1000115,1389-01-01,1435-12-31,ended
7001,1000116,1000117,1393-01-01,1420-12-31,ended
7001,1000118,1000119,1386-01-01,1431-12-31,ended
7001,1000120,1000121,1391-01-01,1419-12-31,ended
7001,1000122,1000123,1392-01-01,1401-12-31,ended
7001,1000124,1000125,1388-01-01,1404-12-31,ended
7001,1000126,1000127,1389-01-01,1425-12-31,ended
7001,1000128,1000129,1390-01-01,1406-12-31,ended
7001,1000130,1000131,1392-01-01,1403-12-31,ended
7001,1000132,1000133,1386-01-01,1438-12-31,ended
7001,1000134,1000135,1390-01-01,1397-12-31,ended
7001,1000136,1000137,1392-01-01,1435-12-31,ended
7001,1000138,1000139,1392-01-01,1425-12-31,ended
7001,1000140,1000141,1390-01-01,1395-12-31,ended
7001,1000142,1000143,1393-01-01,1454-12-31,ended
7001,1000144,1000145,1389-01-01,1433-12-31,ended
7001,1000146,1000147,1391-01-01,1407-12-31,ended
7001,1000148,1000149,1391-01-01,1410-12-31,ended
7001,1000063,1000150,1391-01-01,1456-12-31,ended
7001,1000062,1000065,1390-01-01,1442-12-31,ended
7001,1000064,1000067,1393-01-01,1415-12-31,ended
7001,1000066,1000069,1388-01-01,1434-12-31,ended
7001,1000068,1000071,1389-01-01,1418-12-31,ended
7001,1000070,1000073,1389-01-01,1407-12-31,ended
7001,1000072,1000075,1394-01-01,1448-12-31,ended
7001,1000074,1000077,1393-01-01,1440-12-31,ended
7001,1000076,1000079,1392-01-01,1424-12-31,ended
7001,1000078,1000081,1391-01-01,1420-12-31,ended
7001,1000080,1000083,1391-01-01,1430-12-31,ended
7001,1000082,1000085,1389-01-01,1425-12-31,ended
7001,1000084,1000087,1389-01-01,1413-12-31,ended
7001,1000086,1000089,1389-01-01,1425-12-31,ended
7001,1000088,1000091,1388-01-01,1423-12-31,ended
7001,1000090,1000093,1392-01-01,1434-12-31,ended
7001,1000092,1000095,1390-01-01,1423-12-31,ended
7001,1000094,1000097,1390-01-01,1410-12-31,ended
7001,1000096,1000099,1388-01-01,1426-12-31,ended
7001,1000098,1000101,1389-01-01,1395-12-31,ended
7001,1000100,1000103,1389-01-01,1420-12-31,ended
7001,1000102,1000105,1388-01-01,1392-12-31,ended
7001,1000104,1000107,1392-01-01,1412-12-31,ended
7001,1000106,1000109,1390-01-01,1393-12-31,ended
7001,1000108,1000111,1387-01-01,1428-12-31,ended
7001,1000110,1000113,1392-01-01,1432-12-31,ended
7001,1000112,1000115,1388-01-01,1406-12-31,ended
7001,1000114,1000117,1393-01-01,1446-12-31,ended
7001,1000116,1000119,1388-01-01,1420-12-31,ended
7001,1000118,1000121,1389-01-01,1419-12-31,ended
7001,1000120,1000123,1391-01-01,1401-12-31,ended
7001,1000122,1000125,1389-01-01,1440-12-31,ended
7001,1000124,1000127,1392-01-01,1404-12-31,ended
7001,1000126,1000129,1392-01-01,1425-12-31,ended
7001,1000128,1000131,1389-01-01,1403-12-31,ended
7001,1000130,1000133,1391-01-01,1438-12-31,ended
7001,1000132,1000135,1387-01-01,1397-12-31,ended
7001,1000134,1000137,1391-01-01,1435-12-31,ended
7001,1000136,1000139,1389-01-01,1446-12-31,ended
7001,1000138,1000141,1389-01-01,1414-12-31,ended
7001,1000140,1000143,1389-01-01,1395-12-31,ended
7001,1000142,1000145,1389-01-01,1443-12-31,ended
7001,1000144,1000147,1391-01-01,1433-12-31,ended
7001,1000146,1000149,1394-01-01,1407-12-31,ended
7001,1000063,1000148,1388-01-01,1410-12-31,ended
7001,1000065,1000150,1391-01-01,1454-12-31,ended
7001,1000062,1000067,1390-01-01,1441-12-31,ended
7001,1000064,1000069,1389-01-01,1415-12-31,ended
7001,1000066,1000071,1391-01-01,1449-12-31,ended
7001,1000068,1000073,1392-01-01,1418-12-31,ended
7001,1000070,1000075,1391-01-01,1407-12-31,ended
7001,1000072,1000077,1389-01-01,1440-12-31,ended
7001,1000074,1000079,1392-01-01,1424-12-31,ended
7001,1000076,1000081,1393-01-01,1420-12-31,ended
7001,1000078,1000083,1388-01-01,1435-12-31,ended
7001,1000080,1000085,1393-01-01,1425-12-31,ended
7001,1000082,1000087,1390-01-01,1413-12-31,ended
7001,1000084,1000089,1389-01-01,1427-12-31,ended
7001,1000086,1000091,1391-01-01,1425-12-31,ended
7001,1000088,1000093,1388-01-01,1423-12-31,ended
7001,1000090,1000095,1389-01-01,1442-12-31,ended
7001,1000092,1000097,1389-01-01,1423-12-31,ended
7001,1000094,1000099,1390-01-01,1410-12-31,ended
7001,1000096,1000101,1390-01-01,1424-12-31,ended
7001,1000098,1000103,1388-01-01,1395-12-31,ended
7001,1000100,1000105,1390-01-01,1420-12-31,ended
7001,1000102,1000107,1393-01-01,1393-12-31,ended
7001,1000104,1000109,1393-01-01,1393-12-31,ended
7001,1000106,1000111,1388-01-01,1428-12-31,ended
7001,1000108,1000113,1394-01-01,1443-12-31,ended
7001,1000110,1000115,1391-01-01,1432-12-31,ended
7001,1000112,1000117,1391-01-01,1406-12-31,ended
7001,1000114,1000119,1387-01-01,1433-12-31,ended
7001,1000116,1000121,1388-01-01,1419-12-31,ended
7001,1000151,1000152,1410-01-01,1453-12-31,ended
7001,1000153,1000154,1412-01-01,1468-12-31,ended
7001,1000155,1000156,1410-01-01,1468-12-31,ended
7001,1000157,1000158,1411-01-01,1475-12-31,ended
7001,1000159,1000160,1415-01-01,1447-12-31,ended
7001,1000161,1000162,1415-01-01,1445-12-31,ended
7001,1000163,1000164,1415-01-01,1448-12-31,ended
7001,1000165,1000166,1412-01-01,1445-12-31,ended
7001,1000167,1000168,1414-01-01,1468-12-31,ended
7001,1000169,1000170,1415-01-01,1463-12-31,ended
7001,1000171,1000172,1410-01-01,1466-12-31,ended
7001,1000173,1000174,1414-01-01,1452-12-31,ended
7001,1000175,1000176,1412-01-01,1419-12-31,ended
7001,1000177,1000178,1411-01-01,1458-12-31,ended
7001,1000179,1000180,1414-01-01,1439-12-31,ended
7001,1000181,1000182,1410-01-01,1447-12-31,ended
7001,1000183,1000184,1411-01-01,1458-12-31,ended
7001,1000185,1000186,1413-01-01,1419-12-31,ended
7001,1000187,1000188,1416-01-01,1437-12-31,ended
7001,1000189,1000190,1415-01-01,1446-12-31,ended
7001,1000191,1000192,1412-01-01,1462-12-31,ended
7001,1000193,1000194,1413-01-01,1467-12-31,ended
7001,1000195,1000196,1412-01-01,1463-12-31,ended
7001,1000197,1000198,1412-01-01,1460-12-31,ended
7001,1000199,1000200,1410-01-01,1468-12-31,ended
7001,1000201,1000202,1414-01-01,1439-12-31,ended
7001,1000203,1000204,1412-01-01,1450-12-31,ended
7001,1000205,1000206,1414-01-01,1440-12-31,ended
7001,1000207,1000208,1413-01-01,1455-12-31,ended
7001,1000209,1000210,1416-01-01,1435-12-31,ended
7001,1000211,1000212,1412-01-01,1476-12-31,ended
7001,1000213,1000214,1415-01-01,1465-12-31,ended
7001,1000215,1000216,1408-01-01,1448-12-31,ended
7001,1000217,1000218,1415-01-01,1425-12-31,ended
7001,1000219,1000220,1412-01-01,1452-12-31,ended
7001,1000221,1000222,1412-01-01,1455-12-31,ended
7001,1000223,1000224,1416-01-01,1475-12-31,ended
7001,1000225,1000226,1415-01-01,1433-12-31,ended
7001,1000227,1000228,1411-01-01,1455-12-31,ended
7001,1000229,1000230,1410-01-01,1418-12-31,ended
7001,1000231,1000232,1411-01-01,1458-12-31,ended
7001,1000233,1000234,1410-01-01,1440-12-31,ended
7001,1000235,1000236,1410-01-01,1433-12-31,ended
7001,1000237,1000238,1415-01-01,1459-12-31,ended
7001,1000239,1000240,1411-01-01,1443-12-31,ended
7001,1000241,1000242,1416-01-01,1459-12-31,ended
7001,1000243,1000244,1415-01-01,1422-12-31,ended
7001,1000245,1000246,1413-01-01,1442-12-31,ended
7001,1000247,1000248,1414-01-01,1427-12-31,ended
7001,1000249,1000250,1410-01-01,1436-12-31,ended
7001,1000251,1000252,1409-01-01,1446-12-31,ended
7001,1000253,1000254,1410-01-01,1438-12-31,ended
7001,1000255,1000256,1412-01-01,1424-12-31,ended
7001,1000257,1000258,1410-01-01,1461-12-31,ended
7001,1000259,1000260,1414-01-01,1467-12-31,ended
7001,1000261,1000262,1411-01-01,1448-12-31,ended
7001,1000263,1000264,1414-01-01,1462-12-31,ended
7001,1000265,1000266,1411-01-01,1426-12-31,ended
7001,1000267,1000268,1413-01-01,1429-12-31,ended
7001,1000269,1000270,1432-01-01,1494-12-31,ended
7001,1000271,1000272,1433-01-01,1473-12-31,ended
7001,1000273,1000274,1432-01-01,1481-12-31,ended
7001,1000275,1000276,1436-01-01,1450-12-31,ended
7001,1000277,1000278,1437-01-01,1449-12-31,ended
7001,1000279,1000280,1435-01-01,1470-12-31,ended
7001,1000281,1000282,1432-01-01,1446-12-31,ended
7001,1000283,1000284,1438-01-01,1447-12-31,ended
7001,1000285,1000286,1438-01-01,1479-12-31,ended
7001,1000287,1000288,1432-01-01,1490-12-31,ended
7001,1000289,1000290,1433-01-01,1470-12-31,ended
7001,1000291,1000292,1432-01-01,1467-12-31,ended
7001,1000293,1000294,1435-01-01,1473-12-31,ended
7001,1000295,1000296,1433-01-01,1459-12-31,ended
7001,1000297,1000298,1436-01-01,1487-12-31,ended
7001,1000299,1000300,1434-01-01,1488-12-31,ended
7001,1000301,1000302,1435-01-01,1482-12-31,ended
7001,1000303,1000304,1433-01-01,1488-12-31,ended
7001,1000305,1000306,1435-01-01,1441-12-31,ended
7001,1000307,1000308,1433-01-01,1487-12-31,ended
7001,1000309,1000310,1435-01-01,1442-12-31,ended
7001,1000311,1000312,1438-01-01,1479-12-31,ended
7001,1000313,1000314,1433-01-01,1454-12-31,ended
7001,1000315,1000316,1436-01-01,1464-12-31,ended
7001,1000317,1000318,1434-01-01,1456-12-31,ended
7001,1000319,1000320,1432-01-01,1451-12-31,ended
7001,1000321,1000322,1434-01-01,1488-12-31,ended
7001,1000323,1000324,1432-01-01,1460-12-31,ended
7001,1000325,1000326,1436-01-01,1438-12-31,ended
7001,1000327,1000328,1437-01-01,1462-12-31,ended
7001,1000329,1000330,1433-01-01,1470-12-31,ended
7001,1000331,1000332,1432-01-01,1494-12-31,ended
7001,1000333,1000334,1438-01-01,1470-12-31,ended
7001,1000335,1000336,1435-01-01,1460-12-31,ended
7001,1000337,1000338,1436-01-01,1447-12-31,ended
7001,1000339,1000340,1434-01-01,1472-12-31,ended
7001,1000341,1000342,1435-01-01,1481-12-31,ended
7001,1000343,1000344,1432-01-01,1465-12-31,ended
7001,1000345,1000346,1437-01-01,1481-12-31,ended
7001,1000347,1000348,1437-01-01,1461-12-31,ended
7001,1000349,1000350,1436-01-01,1493-12-31,ended
7001,1000351,1000352,1432-01-01,1461-12-31,ended
7001,1000353,1000354,1436-01-01,1494-12-31,ended
7001,1000355,1000356,1438-01-01,1463-12-31,ended
7001,1000357,1000358,1436-01-01,1448-12-31,ended
7001,1000359,1000360,1433-01-01,1474-12-31,ended
7001,1000361,1000362,1438-01-01,1444-12-31,ended
7001,1000363,1000364,1432-01-01,1457-12-31,ended
7001,1000365,1000366,1436-01-01,1478-12-31,ended
7001,1000367,1000368,1435-01-01,1481-12-31,ended
7001,1000369,1000370,1435-01-01,1509-12-31,ended
7001,1000371,1000372,1434-01-01,1441-12-31,ended
7001,1000373,1000374,1432-01-01,1453-12-31,ended
7001,1000375,1000376,1433-01-01,1482-12-31,ended
7001,1000377,1000378,1437-01-01,1495-12-31,ended
7001,1000379,1000380,1437-01-01,1499-12-31,ended
7001,1000381,1000382,1435-01-01,1463-12-31,ended
7001,1000383,1000384,1437-01-01,1463-12-31,ended
7001,1000385,1000386,1431-01-01,1438-12-31,ended
7001,1000387,1000388,1434-01-01,1484-12-31,ended
7001,1000389,1000390,1432-01-01,1485-12-31,ended
7001,1000391,1000392,1433-01-01,1471-12-31,ended
7001,1000393,1000394,1435-01-01,1476-12-31,ended
7001,1000395,1000396,1435-01-01,1471-12-31,ended
7001,1000397,1000398,1435-01-01,1494-12-31,ended
7001,1000399,1000400,1432-01-01,1473-12-31,ended
7001,1000401,1000402,1436-01-01,1475-12-31,ended
7001,1000403,1000404,1433-01-01,1461-12-31,ended
7001,1000405,1000406,1436-01-01,1490-12-31,ended
7001,1000407,1000408,1433-01-01,1475-12-31,ended
7001,1000409,1000410,1434-01-01,1438-12-31,ended
7001,1000411,1000412,1433-01-01,1444-12-31,ended
7001,1000413,1000414,1435-01-01,1481-12-31,ended
7001,1000270,1000415,1437-01-01,1502-12-31,ended
7001,1000269,1000272,1434-01-01,1473-12-31,ended
7001,1000271,1000274,1435-01-01,1481-12-31,ended
7001,1000273,1000276,1432-01-01,1471-12-31,ended
7001,1000275,1000278,1437-01-01,1450-12-31,ended
7001,1000277,1000280,1435-01-01,1449-12-31,ended
7001,1000279,1000282,1430-01-01,1468-12-31,ended
7001,1000281,1000284,1438-01-01,1446-12-31,ended
7001,1000283,1000286,1434-01-01,1447-12-31,ended
7001,1000285,1000288,1434-01-01,1484-12-31,ended
7001,1000287,1000290,1435-01-01,1470-12-31,ended
7001,1000289,1000292,1435-01-01,1484-12-31,ended
7001,1000291,1000294,1434-01-01,1467-12-31,ended
7001,1000293,1000296,1432-01-01,1459-12-31,ended
7001,1000295,1000298,1436-01-01,1468-12-31,ended
7001,1000297,1000300,1437-01-01,1488-12-31,ended
7001,1000299,1000302,1438-01-01,1482-12-31,ended
7001,1000301,1000304,1433-01-01,1488-12-31,ended
7001,1000303,1000306,1436-01-01,1509-12-31,ended
7001,1000305,1000308,1433-01-01,1441-12-31,ended
7001,1000307,1000310,1438-01-01,1442-12-31,ended
7001,1000309,1000312,1435-01-01,1471-12-31,ended
7001,1000311,1000314,1434-01-01,1490-12-31,ended
7001,1000313,1000316,1437-01-01,1454-12-31,ended
7001,1000315,1000318,1433-01-01,1464-12-31,ended
7001,1000317,1000320,1432-01-01,1456-12-31,ended
7001,1000319,1000322,1432-01-01,1451-12-31,ended
7001,1000321,1000324,1434-01-01,1460-12-31,ended
7001,1000323,1000326,1435-01-01,1478-12-31,ended
7001,1000325,1000328,1432-01-01,1438-12-31,ended
7001,1000327,1000330,1438-01-01,1462-12-31,ended
7001,1000329,1000332,1435-01-01,1470-12-31,ended
7001,1000331,1000334,1434-01-01,1480-12-31,ended
7001,1000333,1000336,1433-01-01,1466-12-31,ended
7001,1000335,1000338,1436-01-01,1460-12-31,ended
7001,1000337,1000340,1436-01-01,1447-12-31,ended
7001,1000339,1000342,1435-01-01,1472-12-31,ended
7001,1000341,1000344,1438-01-01,1465-12-31,ended
7001,1000343,1000346,1434-01-01,1490-12-31,ended
7001,1000345,1000348,1433-01-01,1481-12-31,ended
7001,1000347,1000350,1434-01-01,1461-12-31,ended
7001,1000349,1000352,1433-01-01,1471-12-31,ended
7001,1000351,1000354,1432-01-01,1461-12-31,ended
7001,1000353,1000356,1434-01-01,1463-12-31,ended
7001,1000355,1000358,1436-01-01,1448-12-31,ended
7001,1000357,1000360,1434-01-01,1469-12-31,ended
7001,1000359,1000362,1432-01-01,1466-12-31,ended
7001,1000361,1000364,1434-01-01,1444-12-31,ended
7001,1000363,1000366,1436-01-01,1478-12-31,ended
7001,1000365,1000368,1435-01-01,1490-12-31,ended
7001,1000367,1000370,1435-01-01,1481-12-31,ended
7001,1000369,1000372,1435-01-01,1441-12-31,ended
7001,1000371,1000374,1434-01-01,1453-12-31,ended
7001,1000373,1000376,1433-01-01,1477-12-31,ended
7001,1000375,1000378,1435-01-01,1482-12-31,ended
7001,1000377,1000380,1434-01-01,1502-12-31,ended
7001,1000379,1000382,1435-01-01,1499-12-31,ended
7001,1000381,1000384,1436-01-01,1463-12-31,ended
7001,1000383,1000386,1436-01-01,1469-12-31,ended
7001,1000385,1000388,1432-01-01,1438-12-31,ended
7001,1000387,1000390,1434-01-01,1484-12-31,ended
7001,1000389,1000392,1434-01-01,1471-12-31,ended
7001,1000391,1000394,1434-01-01,1475-12-31,ended
7001,1000393,1000396,1432-01-01,1471-12-31,ended
7001,1000395,1000398,1434-01-01,1477-12-31,ended
7001,1000397,1000400,1435-01-01,1473-12-31,ended
7001,1000399,1000402,1438-01-01,1475-12-31,ended
7001,1000401,1000404,1432-01-01,1461-12-31,ended
7001,1000403,1000406,1438-01-01,1472-12-31,ended
7001,1000405,1000408,1435-01-01,1475-12-31,ended
7001,1000407,1000410,1434-01-01,1477-12-31,ended
7001,1000409,1000412,1433-01-01,1438-12-31,ended
7001,1000411,1000414,1433-01-01,1465-12-31,ended
7001,1000270,1000413,1438-01-01,1485-12-31,ended
7001,1000272,1000415,1432-01-01,1473-12-31,ended
7001,1000269,1000274,1434-01-01,1494-12-31,ended
7001,1000271,1000276,1434-01-01,1471-12-31,ended
7001,1000273,1000278,1434-01-01,1477-12-31,ended
7001,1000275,1000280,1436-01-01,1450-12-31,ended
7001,1000277,1000282,1433-01-01,1449-12-31,ended
7001,1000279,1000284,1431-01-01,1484-12-31,ended
7001,1000281,1000286,1432-01-01,1446-12-31,ended
7001,1000283,1000288,1434-01-01,1447-12-31,ended
7001,1000285,1000290,1432-01-01,1470-12-31,ended
7001,1000287,1000292,1435-01-01,1510-12-31,ended
7001,1000289,1000294,1433-01-01,1484-12-31,ended
7001,1000291,1000296,1436-01-01,1459-12-31,ended
7001,1000293,1000298,1438-01-01,1473-12-31,ended
7001,1000295,1000300,1432-01-01,1468-12-31,ended
7001,1000297,1000302,1436-01-01,1482-12-31,ended
7001,1000299,1000304,1434-01-01,1488-12-31,ended
7001,1000301,1000306,1437-01-01,1495-12-31,ended
7001,1000303,1000308,1432-01-01,1489-12-31,ended
7001,1000305,1000310,1433-01-01,1441-12-31,ended
7001,1000307,1000312,1433-01-01,1479-12-31,ended
7001,1000309,1000314,1435-01-01,1471-12-31,ended
7001,1000311,1000316,1434-01-01,1490-12-31,ended
7001,1000313,1000318,1431-01-01,1454-12-31,ended
7001,1000315,1000320,1434-01-01,1464-12-31,ended
7001,1000317,1000322,1434-01-01,1456-12-31,ended
7001,1000319,1000324,1434-01-01,1451-12-31,ended
7001,1000321,1000326,1432-01-01,1484-12-31,ended
7001,1000323,1000328,1434-01-01,1477-12-31,ended
7001,1000325,1000330,1436-01-01,1438-12-31,ended
7001,1000416,1000417,1459-01-01,1483-12-31,ended
7001,1000418,1000419,1457-01-01,1514-12-31,ended
7001,1000420,1000421,1456-01-01,1468-12-31,ended
7001,1000422,1000423,1456-01-01,1491-12-31,ended
7001,1000424,1000425,1456-01-01,1498-12-31,ended
7001,1000426,1000427,1458-01-01,1485-12-31,ended
7001,1000428,1000429,1458-01-01,1479-12-31,ended
7001,1000430,1000431,1457-01-01,1473-12-31,ended
7001,1000432,1000433,1459-01-01,1506-12-31,ended
7001,1000434,1000435,1455-01-01,1514-12-31,ended
7001,1000436,1000437,1460-01-01,1514-12-31,ended
7001,1000438,1000439,1454-01-01,1473-12-31,ended
7001,1000440,1000441,1454-01-01,1482-12-31,ended
7001,1000442,1000443,1457-01-01,1500-12-31,ended
7001,1000444,1000445,1457-01-01,1499-12-31,ended
7001,1000446,1000447,1456-01-01,1497-12-31,ended
7001,1000448,1000449,1454-01-01,1490-12-31,ended
7001,1000450,1000451,1458-01-01,1482-12-31,ended
7001,1000452,1000453,1457-01-01,1479-12-31,ended
7001,1000454,1000455,1456-01-01,1511-12-31,ended
7001,1000456,1000457,1456-01-01,1509-12-31,ended
7001,1000458,1000459,1454-01-01,1528-12-31,ended
7001,1000460,1000461,1458-01-01,1499-12-31,ended
7001,1000462,1000463,1455-01-01,1514-12-31,ended
7001,1000464,1000465,1460-01-01,1522-12-31,ended
7001,1000466,1000467,1457-01-01,1502-12-31,ended
