tree_id,parent_member_id,child_member_id,parent_role
7001,1000001,1000003,father
7001,1000002,1000003,mother
7001,1000001,1000004,father
7001,1000002,1000004,mother
7001,1000001,1000005,father
7001,1000002,1000005,mother
7001,1000001,1000006,father
7001,1000002,1000006,mother
7001,1000001,1000007,father
7001,1000002,1000007,mother
7001,1000001,1000008,father
7001,1000002,1000008,mother
7001,1000001,1000009,father
7001,1000002,1000009,mother
7001,1000001,1000010,father
7001,1000002,1000010,mother
7001,1000001,1000011,father
7001,1000002,1000011,mother
7001,1000001,1000012,father
7001,1000002,1000012,mother
7001,1000001,1000013,father
7001,1000002,1000013,mother
7001,1000001,1000014,father
7001,1000002,1000014,mother
7001,1000001,1000015,father
7001,1000002,1000015,mother
7001,1000001,1000016,father
7001,1000002,1000016,mother
7001,1000001,1000017,father
7001,1000002,1000017,mother
7001,1000001,1000018,father
7001,1000002,1000018,mother
7001,1000001,1000019,father
7001,1000002,1000019,mother
7001,1000001,1000020,father
7001,1000002,1000020,mother
7001,1000001,1000021,father
7001,1000002,1000021,mother
7001,1000001,1000022,father
7001,1000002,1000022,mother
7001,1000001,1000023,father
7001,1000002,1000023,mother
7001,1000001,1000024,father
7001,1000002,1000024,mother
7001,1000001,1000025,father
7001,1000002,1000025,mother
7001,1000001,1000026,father
7001,1000002,1000026,mother
7001,1000001,1000027,father
7001,1000002,1000027,mother
7001,1000001,1000028,father
7001,1000002,1000028,mother
7001,1000001,1000029,father
7001,1000002,1000029,mother
7001,1000001,1000030,father
7001,1000002,1000030,mother
7001,1000001,1000031,father
7001,1000002,1000031,mother
7001,1000001,1000032,father
7001,1000002,1000032,mother
7001,1000001,1000033,father
7001,1000002,1000033,mother
7001,1000001,1000034,father
7001,1000002,1000034,mother
7001,1000001,1000035,father
7001,1000002,1000035,mother
7001,1000001,1000036,father
7001,1000002,1000036,mother
7001,1000001,1000037,father
7001,1000002,1000037,mother
7001,1000001,1000038,father
7001,1000002,1000038,mother
7001,1000001,1000039,father
7001,1000002,1000039,mother
7001,1000001,1000040,father
7001,1000002,1000040,mother
7001,1000001,1000041,father
7001,1000002,1000041,mother
7001,1000001,1000042,father
7001,1000002,1000042,mother
7001,1000001,1000043,father
7001,1000002,1000043,mother
7001,1000001,1000044,father
7001,1000002,1000044,mother
7001,1000001,1000045,father
7001,1000002,1000045,mother
7001,1000001,1000046,father
7001,1000002,1000046,mother
7001,1000001,1000047,father
7001,1000002,1000047,mother
7001,1000001,1000048,father
7001,1000002,1000048,mother
7001,1000001,1000049,father
7001,1000002,1000049,mother
7001,1000001,1000050,father
7001,1000002,1000050,mother
7001,1000001,1000051,father
7001,1000002,1000051,mother
7001,1000001,1000052,father
7001,1000002,1000052,mother
7001,1000001,1000053,father
7001,1000002,1000053,mother
7001,1000001,1000054,father
7001,1000002,1000054,mother
7001,1000001,1000055,father
7001,1000002,1000055,mother
7001,1000001,1000056,father
7001,1000002,1000056,mother
7001,1000001,1000057,father
7001,1000002,1000057,mother
7001,1000001,1000058,father
7001,1000002,1000058,mother
7001,1000001,1000059,father
7001,1000002,1000059,mother
7001,1000001,1000060,father
7001,1000002,1000060,mother
7001,1000001,1000061,father
