tree_id,user_id,access_role,invited_by,status
7001,7000002,reader,7000001,active
7001,7000003,collaborator,7000001,active
7002,7000002,reader,7000001,active
7002,7000003,collaborator,7000001,active
7003,7000002,reader,7000001,active
7003,7000003,collaborator,7000001,active
7004,7000002,reader,7000001,active
7004,7000003,collaborator,7000001,active
7005,7000002,reader,7000001,active
7005,7000003,collaborator,7000001,active
7006,7000002,reader,7000001,active
7006,7000003,collaborator,7000001,active
7007,7000002,reader,7000001,active
7007,7000003,collaborator,7000001,active
7008,7000002,reader,7000001,active
7008,7000003,collaborator,7000001,active
7009,7000002,reader,7000001,active
7009,7000003,collaborator,7000001,active
7010,7000002,reader,7000001,active
7010,7000003,collaborator,7000001,active
